難易度,お題,ひらがな,別解1,別解2,別解3,別解4,別解5,別解6,別解7,別解8,別解9,別解10,別解11,別解12,別解13,別解14,別解15,別解16,別解17,別解18,別解19,別解20,別解21,別解22,別解23,別解24,別解25,別解26,別解27,別解28,別解29,別解30,別解31,別解32,別解33,別解34,別解35,別解36
やさしい,愛,あい,あいじょう,らぶ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,アイシャドウ,あいしゃどう,あいらいん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,アイス,あいす,あいすきゃんでぃ,あいすきゃんでぃー,あいすきゃんでー,あいすくりーむ,あいすばー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,アイドル,あいどる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,アイマスク,あいますく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,アイロン,あいろん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,アウトドア,あうとどあ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,青い鳥,あおいとり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,青鬼,あおおに,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,青りんご,あおりんご,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,赤鬼,あかおに,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,赤ずきん,あかずきん,あかずきんちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,赤ちゃん,あかちゃん,あかご,あかんぼう,えいじ,ちご,ちのみご,にゅうようじ,べいびー,べびー,みどりご,やや,ややこ,ようじ,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,秋,あき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,あくび,あくび,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,悪魔,あくま,でびる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,足跡,あしあと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,足かせ,あしかせ,こうそくぐ,しゅうじん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,あしながおじさん,あしながおじさん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,汗,あせ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,汗っかき,あせっかき,あせかき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,あっかんべー,あっかんべー,あかんべー,あかんべえ,あっかんべえ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,厚底靴,あつぞこぐつ,あつぞこ,あつぞこくつ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,アニメ,あにめ,あにめーしょん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
